#logM hod_Ncen_red
1.000000000000000000e+01 1.130974675909756148e-14
1.000999999999999979e+01 1.654675767866442961e-14
1.001999999999999957e+01 2.419518541765141224e-14
1.002999999999999936e+01 3.533922697989488064e-14
1.003999999999999915e+01 5.152917634394676177e-14
1.004999999999999893e+01 7.496757138236179910e-14
1.005999999999999872e+01 1.087616729317074188e-13
1.006999999999999851e+01 1.573023770982530838e-13
1.007999999999999829e+01 2.268310249560175485e-13
1.008999999999999808e+01 3.261690699614547576e-13
1.009999999999999787e+01 4.677584408104109658e-13
1.010999999999999766e+01 6.691206241691608275e-13
1.011999999999999744e+01 9.548871795587740774e-13
1.012999999999999723e+01 1.359494335399983886e-12
1.013999999999999702e+01 1.930918147314916961e-12
1.014999999999999680e+01 2.735863684886453511e-12
1.015999999999999659e+01 3.866804192715629062e-12
1.016999999999999638e+01 5.451550622603240628e-12
1.017999999999999616e+01 7.666286923086799788e-12
1.018999999999999595e+01 1.075347600727173512e-11
1.019999999999999574e+01 1.504583929967573029e-11
1.020999999999999552e+01 2.099871316373150563e-11
1.021999999999999531e+01 2.923362178430828262e-11
1.022999999999999510e+01 4.059674019401664019e-11
1.023999999999999488e+01 5.623683684405975017e-11
1.024999999999999467e+01 7.770896776566500037e-11
1.025999999999999446e+01 1.071127172280634178e-10
1.026999999999999424e+01 1.472752209757531729e-10
1.027999999999999403e+01 2.019929389346099141e-10
1.028999999999999382e+01 2.763501855716832147e-10
1.029999999999999361e+01 3.771382515180233137e-10
1.030999999999999339e+01 5.134041650460613967e-10
1.031999999999999318e+01 6.971671432565297947e-10
1.032999999999999297e+01 9.443519712474531304e-10
1.033999999999999275e+01 1.276001149049443220e-09
1.034999999999999254e+01 1.719844165455231584e-09
1.035999999999999233e+01 2.312322492240609624e-09
1.036999999999999211e+01 3.101196958605776020e-09
1.037999999999999190e+01 4.148893623885018487e-09
1.038999999999999169e+01 5.536784496410186037e-09
1.039999999999999147e+01 7.370648109241557720e-09
1.040999999999999126e+01 9.787615772948923837e-09
1.041999999999999105e+01 1.296498021082284530e-08
1.042999999999999083e+01 1.713132901893108247e-08
1.043999999999999062e+01 2.258057756698547460e-08
1.044999999999999041e+01 2.968960151889394689e-08
1.045999999999999019e+01 3.894032457335580856e-08
1.046999999999998998e+01 5.094730432031902562e-08
1.047999999999998977e+01 6.649207391865454359e-08
1.048999999999998956e+01 8.656576199130537152e-08
1.049999999999998934e+01 1.124218230340644546e-07
1.050999999999998913e+01 1.456410706293360726e-07
1.051999999999998892e+01 1.882116388095857019e-07
1.052999999999998870e+01 2.426269994803335535e-07
1.053999999999998849e+01 3.120056738469771222e-07
1.054999999999998828e+01 4.002370092820490463e-07
1.055999999999998806e+01 5.121581187226827440e-07
1.056999999999998785e+01 6.537679393962478875e-07
1.057999999999998764e+01 8.324854224634622580e-07
1.058999999999998742e+01 1.057459852388020803e-06
1.059999999999998721e+01 1.339942447337294451e-06
1.060999999999998700e+01 1.693730013810115765e-06
1.061999999999998678e+01 2.135692770719702691e-06
1.062999999999998657e+01 2.686400200922532493e-06
1.063999999999998636e+01 3.370860998531544055e-06
1.064999999999998614e+01 4.219393914406167064e-06
1.065999999999998593e+01 5.268649295183937052e-06
1.066999999999998572e+01 6.562803431937862337e-06
1.067999999999998550e+01 8.154949666258910876e-06
1.068999999999998529e+01 1.010871344565484271e-05
1.069999999999998508e+01 1.250012117888728515e-05
1.070999999999998487e+01 1.541975019098079734e-05
1.071999999999998465e+01 1.897519599996163949e-05
1.072999999999998444e+01 2.329389221085449211e-05
1.073999999999998423e+01 2.852632030432959991e-05
1.074999999999998401e+01 3.484965411237895134e-05
1.075999999999998380e+01 4.247187409505277485e-05
1.076999999999998359e+01 5.163638469791311745e-05
1.077999999999998337e+01 6.262718556392327194e-05
1.078999999999998316e+01 7.577463306872826839e-05
1.079999999999998295e+01 9.146183312808573644e-05
1.080999999999998273e+01 1.101317245320777052e-04
1.081999999999998252e+01 1.322948327055614910e-04
1.082999999999998231e+01 1.585377356945880307e-04
1.083999999999998209e+01 1.895322741263261721e-04
1.084999999999998188e+01 2.260455041366703655e-04
1.085999999999998167e+01 2.689504283378606284e-04
1.086999999999998145e+01 3.192375181987559254e-04
1.087999999999998124e+01 3.780268163529794672e-04
1.088999999999998103e+01 4.465807176915437510e-04
1.089999999999998082e+01 5.263173416323244222e-04
1.090999999999998060e+01 6.188244019506158270e-04
1.091999999999998039e+01 7.258736818833433357e-04
1.092999999999998018e+01 8.494357135228719187e-04
1.093999999999997996e+01 9.916942913422567389e-04
1.094999999999997975e+01 1.155061012671935311e-03
1.095999999999997954e+01 1.342189498566619338e-03
1.096999999999997932e+01 1.555989162713737476e-03
1.097999999999997911e+01 1.799638916748022652e-03
1.098999999999997890e+01 2.076598870042039961e-03
1.099999999999997868e+01 2.390620459342420855e-03
1.100999999999997847e+01 2.745755006878992498e-03
1.101999999999997826e+01 3.146360077528578998e-03
1.102999999999997804e+01 3.597104210913404203e-03
1.103999999999997783e+01 4.102969856827381329e-03
1.104999999999997762e+01 4.669250068589359676e-03
1.105999999999997740e+01 5.301542333847737883e-03
1.106999999999997719e+01 6.005738485363708475e-03
1.107999999999997698e+01 6.788010236461891438e-03
1.108999999999997677e+01 7.654793986809076307e-03
1.109999999999997655e+01 8.612768450638873252e-03
1.110999999999997634e+01 9.668822564054902272e-03
1.111999999999997613e+01 1.083002032218062516e-02
1.112999999999997591e+01 1.210355988201693156e-02
1.113999999999997570e+01 1.349672870671577221e-02
1.114999999999997549e+01 1.501686294149120159e-02
1.115999999999997527e+01 1.667128675063444393e-02
1.116999999999997506e+01 1.846724601476988289e-02
1.117999999999997485e+01 2.041184018358281962e-02
1.118999999999997463e+01 2.251194914468584302e-02
1.119999999999997442e+01 2.477416634652065269e-02
1.120999999999997421e+01 2.720473623417078018e-02
1.121999999999997399e+01 2.980945750868699978e-02
1.122999999999997378e+01 3.259359549423560681e-02
1.123999999999997357e+01 3.556179540918538023e-02
1.124999999999997335e+01 3.871799669531707233e-02
1.125999999999997314e+01 4.206537914996089089e-02
1.126999999999997293e+01 4.560628667035750150e-02
1.127999999999997272e+01 4.934212505270734600e-02
1.128999999999997250e+01 5.327328458155975582e-02
1.129999999999997229e+01 5.739906822172957668e-02
1.130999999999997208e+01 6.171763709404420872e-02
1.131999999999997186e+01 6.622600980375668855e-02
1.132999999999997165e+01 7.091998841384233865e-02
1.133999999999997144e+01 7.579410147748441573e-02
1.134999999999997122e+01 8.084157487844011170e-02
1.135999999999997101e+01 8.605431356548143285e-02
1.136999999999997080e+01 9.142292861079914790e-02
1.137999999999997058e+01 9.693678818082539228e-02
1.138999999999997037e+01 1.025839885085822467e-01
1.139999999999997016e+01 1.083513777711739012e-01
1.140999999999996994e+01 1.142245994513951257e-01
1.141999999999996973e+01 1.201881503236282706e-01
1.142999999999996952e+01 1.262254850922481519e-01
1.143999999999996930e+01 1.323190969644343074e-01
1.144999999999996909e+01 1.384505827406635192e-01
1.145999999999996888e+01 1.446007429773354669e-01
1.146999999999996867e+01 1.507496922701827835e-01
1.147999999999996845e+01 1.568769688287295905e-01
1.148999999999996824e+01 1.629616214434066457e-01
1.149999999999996803e+01 1.689823662266966842e-01
1.150999999999996781e+01 1.749177364086676179e-01
1.151999999999996760e+01 1.807462229637579465e-01
1.152999999999996739e+01 1.864464162923801516e-01
1.153999999999996717e+01 1.919970386382203742e-01
1.154999999999996696e+01 1.973769761198668204e-01
1.155999999999996675e+01 2.025655857315696584e-01
1.156999999999996653e+01 2.075428567221238030e-01
1.157999999999996632e+01 2.122895471874325368e-01
1.158999999999996611e+01 2.167872876250953318e-01
1.159999999999996589e+01 2.210183380505532924e-01
1.160999999999996568e+01 2.249657738443803234e-01
1.161999999999996547e+01 2.286138663462717602e-01
1.162999999999996525e+01 2.319481960360985917e-01
1.163999999999996504e+01 2.349557488818022344e-01
1.164999999999996483e+01 2.376248432044411607e-01
1.165999999999996461e+01 2.399446332594032116e-01
1.166999999999996440e+01 2.419056647288725936e-01
1.167999999999996419e+01 2.435001352897534499e-01
1.168999999999996398e+01 2.447219454508790526e-01
1.169999999999996376e+01 2.455667299868505848e-01
1.170999999999996355e+01 2.460314344620304905e-01
1.171999999999996334e+01 2.461140156062384676e-01
1.172999999999996312e+01 2.458141372969336047e-01
1.173999999999996291e+01 2.451332454199787181e-01
1.174999999999996270e+01 2.440745562704617899e-01
1.175999999999996248e+01 2.426429741682741281e-01
1.176999999999996227e+01 2.408444020791583318e-01
1.177999999999996206e+01 2.386859469082694418e-01
1.178999999999996184e+01 2.361763561362751063e-01
1.179999999999996163e+01 2.333259686303571778e-01
1.180999999999996142e+01 2.301466437644859309e-01
1.181999999999996120e+01 2.266515165392721798e-01
