#colr magbin z_mean avmass_cen_bfit avmass_tot_bfit avmass_cen_fitFunc avmass_tot_fitFunc
#calculated from interpolation of chopped HODs from the interpolated HODs of Paul et al's model..
r -19.0--20.0 0.050 0.418689 39.348213 0.471811 41.055220
r -20.0--21.0 0.055 2.150267 35.817031 2.120092 34.704092
r -21.0--22.0 0.123 12.232686 41.721641 11.863170 40.960555
r -22.0--23.0 0.187 103.316026 117.278031 99.266511 113.043232
b -19.0--20.0 0.050 0.4186891 12.918983 0.467335 13.301957
b -20.0--21.0 0.055 2.150266 15.670144 2.120092 15.201701
b -21.0--22.0 0.123 12.232686 23.932439 11.863169 23.396941
b -22.0--23.0 0.187 112.388565 113.847941 111.607836 113.073333


