#colr magbin z_mean avmass_cen_bfit avmass_tot_bfit avmass_cen_fitFunc avmass_tot_fitFunc
#calculated from interpolation of actual modelled HODs from Paul et al.
r -19.0--20.0 0.050 0.409972 38.871951 0.465367 40.633512
r -20.0--21.0 0.055 2.134472 35.604695 2.107678 34.548176
r -21.0--22.0 0.123 11.678617 40.126495 11.345294 39.402360
r -22.0--23.0 0.187 97.550957 110.810178 95.301692 108.661495
b -19.0--20.0 0.050 97.550957 110.810178 0.465367 13.241028
b -20.0--21.0 0.055 2.134472 15.552045 2.107678 15.114201
b -21.0--22.0 0.123 11.67862 22.902299 11.345294 22.414722
b -22.0--23.0 0.187 97.550957 98.822185 95.301692 96.582587


