#logM hod_Ncen_blue
1.000000000000000000e+01 1.613056436961472179e-11
1.000999999999999979e+01 1.875588864892845052e-11
1.001999999999999957e+01 2.180600764099658913e-11
1.002999999999999936e+01 2.534635633846645287e-11
1.003999999999999915e+01 2.945141772900709799e-11
1.004999999999999893e+01 3.420570920011730657e-11
1.005999999999999872e+01 3.970485119230415541e-11
1.006999999999999851e+01 4.605912672729003618e-11
1.007999999999999829e+01 5.339804278398362384e-11
1.008999999999999808e+01 6.187081216481594923e-11
1.009999999999999787e+01 7.164905379852643843e-11
1.010999999999999766e+01 8.293017703562320217e-11
1.011999999999999744e+01 9.594108635848830349e-11
1.012999999999999723e+01 1.109402525770482364e-10
1.013999999999999702e+01 1.282220469254168174e-10
1.014999999999999680e+01 1.481227508913370760e-10
1.015999999999999659e+01 1.710262651470874329e-10
1.016999999999999638e+01 1.973705289677564748e-10
1.017999999999999616e+01 2.276551837247118146e-10
1.018999999999999595e+01 2.624513615054864659e-10
1.019999999999999574e+01 3.024106999082930796e-10
1.020999999999999552e+01 3.482759635879218652e-10
1.021999999999999531e+01 4.008933632236404350e-10
1.022999999999999510e+01 4.612264705178510048e-10
1.023999999999999488e+01 5.303713722829318456e-10
1.024999999999999467e+01 6.095737375745269543e-10
1.025999999999999446e+01 7.002490479132336701e-10
1.026999999999999424e+01 8.040048958360179041e-10
1.027999999999999403e+01 9.226660240494096794e-10
1.028999999999999382e+01 1.058302530665911883e-09
1.029999999999999361e+01 1.213262034624501230e-09
1.030999999999999339e+01 1.390205346330792308e-09
1.031999999999999318e+01 1.592146334456367014e-09
1.032999999999999297e+01 1.822496890696518609e-09
1.033999999999999275e+01 2.085117368282484364e-09
1.034999999999999254e+01 2.384373031900993564e-09
1.035999999999999233e+01 2.725197092507559275e-09
1.036999999999999211e+01 3.113161681748707035e-09
1.037999999999999190e+01 3.554557161069393924e-09
1.038999999999999169e+01 4.056480744817881657e-09
1.039999999999999147e+01 4.626935534372428215e-09
1.040999999999999126e+01 5.274941239282473476e-09
1.041999999999999105e+01 6.010657739776338910e-09
1.042999999999999083e+01 6.845522713961581810e-09
1.043999999999999062e+01 7.792405160260805421e-09
1.044999999999999041e+01 8.865776441258795833e-09
1.045999999999999019e+01 1.008190071516960933e-08
1.046999999999998998e+01 1.145904677941693421e-08
1.047999999999998977e+01 1.301772369511750103e-08
1.048999999999998956e+01 1.478094265460819595e-08
1.049999999999998934e+01 1.677450779498276736e-08
1.050999999999998913e+01 1.902733898063848891e-08
1.051999999999998892e+01 2.157182989373854708e-08
1.052999999999998870e+01 2.444424508355159699e-08
1.053999999999998849e+01 2.768515964562390174e-08
1.054999999999998828e+01 3.133994607378554036e-08
1.055999999999998806e+01 3.545931297160110676e-08
1.056999999999998785e+01 4.009990074869196180e-08
1.057999999999998764e+01 4.532494002063229780e-08
1.058999999999998742e+01 5.120497870443510331e-08
1.059999999999998721e+01 5.781868434116172496e-08
1.060999999999998700e+01 6.525372913073412846e-08
1.061999999999998678e+01 7.360776549356866688e-08
1.062999999999998657e+01 8.298950077443502729e-08
1.063999999999998636e+01 9.351988071983898037e-08
1.064999999999998614e+01 1.053333910542736062e-07
1.065999999999998593e+01 1.185794884333405496e-07
1.066999999999998572e+01 1.334241728703190007e-07
1.067999999999998550e+01 1.500517143293042488e-07
1.068999999999998529e+01 1.686665476804309984e-07
1.069999999999998508e+01 1.894953512190561600e-07
1.070999999999998487e+01 2.127893233513596898e-07
1.071999999999998465e+01 2.388266763693370048e-07
1.072999999999998444e+01 2.679153659562048015e-07
1.073999999999998423e+01 3.003960766389254983e-07
1.074999999999998401e+01 3.366454862487394544e-07
