#logM hod_Ncen_red
1.000000000000000000e+01 2.381098569775362307e-11
1.000999999999999979e+01 2.768633422458248992e-11
1.001999999999999957e+01 3.218873959815950718e-11
1.002999999999999936e+01 3.741479308698293752e-11
1.003999999999999915e+01 4.347444207500523357e-11
1.004999999999999893e+01 5.049244613410694913e-11
1.005999999999999872e+01 5.860995450675451258e-11
1.006999999999999851e+01 6.798976047114709040e-11
1.007999999999999829e+01 7.882303457481843087e-11
1.008999999999999808e+01 9.133003593723739090e-11
1.009999999999999787e+01 1.057640982771789875e-10
1.010999999999999766e+01 1.224166256096447380e-10
1.011999999999999744e+01 1.416225609199484295e-10
1.012999999999999723e+01 1.637634435403430840e-10
1.013999999999999702e+01 1.892738068873108748e-10
1.014999999999999680e+01 2.186500498165639416e-10
1.015999999999999659e+01 2.524588638094120971e-10
1.016999999999999638e+01 2.913467089385891429e-10
1.017999999999999616e+01 3.360511262643478302e-10
1.018999999999999595e+01 3.874151872165628495e-10
1.019999999999999574e+01 4.464008007015578052e-10
1.020999999999999552e+01 5.141043920003552897e-10
1.021999999999999531e+01 5.917750873009565457e-10
1.022999999999999510e+01 6.808352541968899868e-10
1.023999999999999488e+01 7.829028712544971747e-10
1.024999999999999467e+01 8.998167215063141654e-10
1.025999999999999446e+01 1.033666255108583766e-09
1.026999999999999424e+01 1.186824505144860781e-09
1.027999999999999403e+01 1.361985048943978053e-09
1.028999999999999382e+01 1.562203642982913300e-09
1.029999999999999361e+01 1.790945703579339735e-09
1.030999999999999339e+01 2.052138961782263022e-09
1.031999999999999318e+01 2.350232312384796667e-09
1.032999999999999297e+01 2.690262188241821206e-09
1.033999999999999275e+01 3.077927014620491995e-09
1.034999999999999254e+01 3.519670537234901509e-09
1.035999999999999233e+01 4.022774870511684556e-09
1.036999999999999211e+01 4.595465265837026495e-09
1.037999999999999190e+01 5.247027182973426935e-09
1.038999999999999169e+01 5.987937110248683634e-09
1.039999999999999147e+01 6.830008752880441506e-09
1.040999999999999126e+01 7.786556472980105342e-09
1.041999999999999105e+01 8.872577685223641418e-09
1.042999999999999083e+01 1.010495601398977585e-08
1.043999999999999062e+01 1.150268791410576567e-08
1.044999999999999041e+01 1.308713515566456846e-08
1.045999999999999019e+01 1.488230592770080841e-08
1.046999999999998998e+01 1.691516754916272702e-08
1.047999999999998977e+01 1.921599428384761902e-08
1.048999999999998956e+01 2.181875389376720169e-08
1.049999999999998934e+01 2.476153692090144118e-08
1.050999999999998913e+01 2.808703315971549946e-08
1.051999999999998892e+01 3.184306024913448735e-08
1.052999999999998870e+01 3.608314977331035349e-08
1.053999999999998849e+01 4.086719629002799954e-08
1.054999999999998828e+01 4.626217599286027073e-08
1.055999999999998806e+01 5.234294192517023975e-08
1.056999999999998785e+01 5.919310331181239811e-08
1.057999999999998764e+01 6.690599745014354268e-08
1.058999999999998742e+01 7.558576300540234956e-08
1.059999999999998721e+01 8.534852435192377913e-08
1.060999999999998700e+01 9.632369800921689554e-08
1.061999999999998678e+01 1.086554327083863274e-07
1.062999999999998657e+01 1.225041958064476702e-07
1.063999999999998636e+01 1.380485202656863365e-07
1.064999999999998614e+01 1.554869259635898032e-07
1.065999999999998593e+01 1.750400319812652935e-07
1.066999999999998572e+01 1.969528777266000366e-07
1.067999999999998550e+01 2.214974716289993107e-07
1.068999999999998529e+01 2.489755883602822677e-07
1.069999999999998508e+01 2.797218370218454158e-07
1.070999999999998487e+01 3.141070218533789627e-07
