#logM hod_Ncen_blue
1.000000000000000000e+01 2.371778966782612737e-14
1.000999999999999979e+01 3.470038071288917063e-14
1.001999999999999957e+01 5.073997950027463155e-14
1.002999999999999936e+01 7.411026704541288752e-14
1.003999999999999915e+01 1.080623812641022908e-13
1.004999999999999893e+01 1.572152876477369277e-13
1.005999999999999872e+01 2.280852557940879029e-13
1.006999999999999851e+01 3.298804804152072246e-13
1.007999999999999829e+01 4.756897439561681227e-13
1.008999999999999808e+01 6.840126098555983198e-13
1.009999999999999787e+01 9.809411785075959053e-13
1.010999999999999766e+01 1.403219945104678213e-12
1.011999999999999744e+01 2.002504013899410967e-12
1.012999999999999723e+01 2.851009964098501860e-12
1.013999999999999702e+01 4.049348889882482184e-12
1.014999999999999680e+01 5.737408698898072985e-12
1.015999999999999659e+01 8.109116011437153495e-12
1.016999999999999638e+01 1.143250452769000609e-11
1.017999999999999616e+01 1.607705147144136488e-11
1.018999999999999595e+01 2.255122838478452691e-11
1.019999999999999574e+01 3.155278888968648701e-11
1.020999999999999552e+01 4.403662369467023291e-11
1.021999999999999531e+01 6.130613774806827583e-11
1.022999999999999510e+01 8.513585366945027834e-11
1.023999999999999488e+01 1.179348659401541592e-10
1.024999999999999467e+01 1.629642990270622272e-10
1.025999999999999446e+01 2.246272133300406871e-10
1.026999999999999424e+01 3.088524251505210956e-10
1.027999999999999403e+01 4.236015307931969383e-10
1.028999999999999382e+01 5.795368999559188118e-10
1.029999999999999361e+01 7.909006201222779738e-10
1.030999999999999339e+01 1.076665310065709118e-09
1.031999999999999318e+01 1.462036597218820465e-09
1.032999999999999297e+01 1.980410517010664009e-09
1.033999999999999275e+01 2.675915519038023170e-09
1.034999999999999254e+01 3.606703407827671981e-09
1.035999999999999233e+01 4.849195979656258526e-09
1.036999999999999211e+01 6.503552975096229293e-09
1.037999999999999190e+01 8.700688744098920480e-09
1.038999999999999169e+01 1.161124938684443580e-08
1.039999999999999147e+01 1.545706418491905283e-08
1.040999999999999126e+01 2.052571266156477891e-08
1.041999999999999105e+01 2.718899726383971046e-08
1.042999999999999083e+01 3.592629145957587422e-08
1.043999999999999062e+01 4.735396828235679658e-08
1.044999999999999041e+01 6.226237767704761891e-08
1.045999999999999019e+01 8.166216693444595357e-08
1.046999999999998998e+01 1.068421312829178289e-07
1.047999999999998977e+01 1.394412321842329538e-07
1.048999999999998956e+01 1.815379759669088444e-07
1.049999999999998934e+01 2.357609953247332126e-07
1.050999999999998913e+01 3.054254311578617408e-07
1.051999999999998892e+01 3.947006203946867872e-07
1.052999999999998870e+01 5.088156493673315264e-07
1.053999999999998849e+01 6.543104019122561379e-07
1.054999999999998828e+01 8.393412695819590103e-07
1.055999999999998806e+01 1.074052213128718508e-06
1.056999999999998785e+01 1.371023667324407973e-06
1.057999999999998764e+01 1.745813993194594298e-06
1.058999999999998742e+01 2.217610252054020880e-06
1.059999999999998721e+01 2.810007492641152122e-06
1.060999999999998700e+01 3.551939143935171003e-06
1.061999999999998678e+01 4.478783920628524188e-06
1.062999999999998657e+01 5.633678302994161949e-06
1.063999999999998636e+01 7.069068288230082054e-06
1.064999999999998614e+01 8.848535649756342084e-06
1.065999999999998593e+01 1.104894021753356965e-05
1.066999999999998572e+01 1.376292455927721252e-05
1.067999999999998550e+01 1.710183128375113905e-05
1.068999999999998529e+01 2.119908999054355241e-05
1.069999999999998508e+01 2.621413646638044254e-05
1.070999999999998487e+01 3.233692137853725159e-05
1.071999999999998465e+01 3.979308442700946110e-05
1.072999999999998444e+01 4.884986797406807999e-05
1.073999999999998423e+01 5.982284832601448112e-05
1.074999999999998401e+01 7.308357860170595368e-05
1.075999999999998380e+01 8.906821682585874908e-05
1.076999999999998359e+01 1.082872090382491824e-04
1.077999999999998337e+01 1.313361338969161148e-04
1.078999999999998316e+01 1.589077852547960714e-04
1.079999999999998295e+01 1.918055785838693704e-04
1.080999999999998273e+01 2.309584055103289495e-04
1.081999999999998252e+01 2.774368943077129448e-04
1.082999999999998231e+01 3.324711640066537258e-04
1.083999999999998209e+01 3.974701386993439761e-04
1.084999999999998188e+01 4.740424199293970134e-04
1.085999999999998167e+01 5.640187907176542285e-04
1.086999999999998145e+01 6.694763792678461991e-04
1.087999999999998124e+01 7.927640388451378823e-04
1.088999999999998103e+01 9.365291511407821453e-04
1.089999999999998082e+01 1.103745669400019950e-03
1.090999999999998060e+01 1.297743204990570165e-03
1.091999999999998039e+01 1.522237383296933975e-03
1.092999999999998018e+01 1.781360628032561998e-03
1.093999999999997996e+01 2.079692597707316105e-03
1.094999999999997975e+01 2.422290678615084385e-03
1.095999999999997954e+01 2.814719807564300836e-03
1.096999999999997932e+01 3.263081346801615344e-03
1.097999999999997911e+01 3.774041825572216173e-03
1.098999999999997890e+01 4.354857475874414699e-03
1.099999999999997868e+01 5.013395475427041836e-03
1.100999999999997847e+01 5.758151894970699528e-03
1.101999999999997826e+01 6.598265029943287292e-03
1.102999999999997804e+01 7.543525324213650428e-03
1.103999999999997783e+01 8.604381525995135824e-03
1.104999999999997762e+01 9.791933753441679766e-03
1.105999999999997740e+01 1.111792055716283832e-02
1.106999999999997719e+01 1.259469776202053366e-02
1.107999999999997698e+01 1.423520813336938765e-02
1.108999999999997677e+01 1.605294951309454293e-02
1.109999999999997655e+01 1.806192790352461122e-02
1.110999999999997634e+01 2.027659016549753640e-02
1.111999999999997613e+01 2.271175027797514220e-02
1.112999999999997591e+01 2.538250357221278827e-02
1.113999999999997570e+01 2.830413266434077257e-02
1.114999999999997549e+01 3.149202226215722100e-02
1.115999999999997527e+01 3.496153194814017456e-02
1.116999999999997506e+01 3.872785713526105678e-02
1.117999999999997485e+01 4.280588615461874274e-02
1.118999999999997463e+01 4.721004689136479304e-02
1.119999999999997442e+01 5.195416653603289470e-02
1.120999999999997421e+01 5.705134038051934420e-02
1.121999999999997399e+01 6.251372894219012211e-02
1.122999999999997378e+01 6.835237418809976540e-02
1.123999999999997357e+01 7.457701765486961232e-02
1.124999999999997335e+01 8.119592078756601716e-02
1.125999999999997314e+01 8.821575197283545999e-02
1.126999999999997293e+01 9.564142662239694115e-02
1.127999999999997272e+01 1.034758928463458127e-01
1.128999999999997250e+01 1.117199691145425861e-01
1.129999999999997229e+01 1.203721936671207915e-01
1.130999999999997208e+01 1.294287101710988042e-01
1.131999999999997186e+01 1.388832663119880795e-01
1.132999999999997165e+01 1.487270585516093369e-01
1.133999999999997144e+01 1.589486126609156169e-01
1.134999999999997122e+01 1.695337225690145555e-01
1.135999999999997101e+01 1.804654120582716847e-01
1.136999999999997080e+01 1.917239915087750601e-01
1.137999999999997058e+01 2.032871647897872835e-01
1.138999999999997037e+01 2.151299683855509015e-01
