#logM hod_Nsat_blue
1.000000000000000000e+01 0.000000000000000000e+00
1.000999999999999979e+01 0.000000000000000000e+00
1.001999999999999957e+01 0.000000000000000000e+00
1.002999999999999936e+01 0.000000000000000000e+00
1.003999999999999915e+01 0.000000000000000000e+00
1.004999999999999893e+01 0.000000000000000000e+00
1.005999999999999872e+01 0.000000000000000000e+00
1.006999999999999851e+01 0.000000000000000000e+00
1.007999999999999829e+01 0.000000000000000000e+00
1.008999999999999808e+01 0.000000000000000000e+00
1.009999999999999787e+01 0.000000000000000000e+00
1.010999999999999766e+01 0.000000000000000000e+00
1.011999999999999744e+01 0.000000000000000000e+00
1.012999999999999723e+01 0.000000000000000000e+00
1.013999999999999702e+01 0.000000000000000000e+00
1.014999999999999680e+01 0.000000000000000000e+00
1.015999999999999659e+01 0.000000000000000000e+00
1.016999999999999638e+01 0.000000000000000000e+00
1.017999999999999616e+01 0.000000000000000000e+00
1.018999999999999595e+01 0.000000000000000000e+00
1.019999999999999574e+01 0.000000000000000000e+00
1.020999999999999552e+01 0.000000000000000000e+00
1.021999999999999531e+01 0.000000000000000000e+00
1.022999999999999510e+01 0.000000000000000000e+00
1.023999999999999488e+01 0.000000000000000000e+00
1.024999999999999467e+01 0.000000000000000000e+00
1.025999999999999446e+01 0.000000000000000000e+00
1.026999999999999424e+01 0.000000000000000000e+00
1.027999999999999403e+01 0.000000000000000000e+00
1.028999999999999382e+01 0.000000000000000000e+00
1.029999999999999361e+01 0.000000000000000000e+00
1.030999999999999339e+01 0.000000000000000000e+00
1.031999999999999318e+01 0.000000000000000000e+00
1.032999999999999297e+01 0.000000000000000000e+00
1.033999999999999275e+01 0.000000000000000000e+00
1.034999999999999254e+01 0.000000000000000000e+00
1.035999999999999233e+01 0.000000000000000000e+00
1.036999999999999211e+01 0.000000000000000000e+00
1.037999999999999190e+01 0.000000000000000000e+00
1.038999999999999169e+01 0.000000000000000000e+00
1.039999999999999147e+01 0.000000000000000000e+00
1.040999999999999126e+01 0.000000000000000000e+00
1.041999999999999105e+01 0.000000000000000000e+00
1.042999999999999083e+01 0.000000000000000000e+00
1.043999999999999062e+01 0.000000000000000000e+00
1.044999999999999041e+01 0.000000000000000000e+00
1.045999999999999019e+01 0.000000000000000000e+00
1.046999999999998998e+01 0.000000000000000000e+00
1.047999999999998977e+01 0.000000000000000000e+00
1.048999999999998956e+01 0.000000000000000000e+00
1.049999999999998934e+01 0.000000000000000000e+00
1.050999999999998913e+01 0.000000000000000000e+00
1.051999999999998892e+01 0.000000000000000000e+00
1.052999999999998870e+01 0.000000000000000000e+00
1.053999999999998849e+01 0.000000000000000000e+00
1.054999999999998828e+01 0.000000000000000000e+00
1.055999999999998806e+01 0.000000000000000000e+00
1.056999999999998785e+01 0.000000000000000000e+00
1.057999999999998764e+01 0.000000000000000000e+00
1.058999999999998742e+01 0.000000000000000000e+00
1.059999999999998721e+01 0.000000000000000000e+00
1.060999999999998700e+01 0.000000000000000000e+00
1.061999999999998678e+01 0.000000000000000000e+00
1.062999999999998657e+01 0.000000000000000000e+00
1.063999999999998636e+01 0.000000000000000000e+00
1.064999999999998614e+01 0.000000000000000000e+00
1.065999999999998593e+01 0.000000000000000000e+00
1.066999999999998572e+01 0.000000000000000000e+00
1.067999999999998550e+01 0.000000000000000000e+00
1.068999999999998529e+01 0.000000000000000000e+00
1.069999999999998508e+01 0.000000000000000000e+00
1.070999999999998487e+01 0.000000000000000000e+00
1.071999999999998465e+01 0.000000000000000000e+00
1.072999999999998444e+01 0.000000000000000000e+00
1.073999999999998423e+01 0.000000000000000000e+00
1.074999999999998401e+01 0.000000000000000000e+00
1.075999999999998380e+01 0.000000000000000000e+00
1.076999999999998359e+01 0.000000000000000000e+00
1.077999999999998337e+01 0.000000000000000000e+00
1.078999999999998316e+01 0.000000000000000000e+00
1.079999999999998295e+01 0.000000000000000000e+00
1.080999999999998273e+01 0.000000000000000000e+00
1.081999999999998252e+01 0.000000000000000000e+00
1.082999999999998231e+01 0.000000000000000000e+00
1.083999999999998209e+01 0.000000000000000000e+00
1.084999999999998188e+01 0.000000000000000000e+00
1.085999999999998167e+01 0.000000000000000000e+00
1.086999999999998145e+01 0.000000000000000000e+00
1.087999999999998124e+01 0.000000000000000000e+00
1.088999999999998103e+01 0.000000000000000000e+00
1.089999999999998082e+01 0.000000000000000000e+00
1.090999999999998060e+01 0.000000000000000000e+00
1.091999999999998039e+01 0.000000000000000000e+00
1.092999999999998018e+01 0.000000000000000000e+00
1.093999999999997996e+01 0.000000000000000000e+00
1.094999999999997975e+01 0.000000000000000000e+00
1.095999999999997954e+01 0.000000000000000000e+00
